Tipo,Código producto,Nombre producto,Referencia fábrica,Categoría,Estado,Impuesto cargo,Descripción larga,Es incluido,Inventariable,Saldo cantidades,Visible en facturas de venta,Stock mínimo,Precio de venta 1,Precio de venta 2
Producto,000001EM,CAJA MECANISMO 32MM ECO. EM,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,000527,"FACE PLATE SENCILLO PANDUIT M,GENERICA",,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,00089,GUANTE CARNAZA SENCILLO CORTO M GENERICA,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,00091,GUANTE CARNAZA SENCILLO SOLDADOR M. GENERICA,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,006,LLANA METALICA M.GENERICA,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,0090044000013,CABLE AL 400MCM SERIE 8000 FACELEC,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,020030013,CABLE DUPLEX POLARIZADO 2X18 M. GEN,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,020060004,CABLE SOLDADOR #2 X MT PROCABLES,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,020060008,CABLE SOLDADOR 4AWG CU M GENE,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,020060011,CABLE SOLDADOR 6AWG M GEN,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,020120011,CABLE ALUMINIO 250 KCMIL AA-8000 LSZH FACELEC,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,020160032,C. ENCAUCHETADO 4X10 AWG CT 600V,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,020170120,CONECTOR RESORTE 18-8 ROJO/AMA M GENE,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,020170138,SONDA 1/8 * 30MTRS -2.32 MM M. GENE,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,020180008,C. 10AWG CU AZUL THHN-2 600V X MTRS M. GEN,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,020180009,C. 10 AWG CU THHN 600V AMARILLA X MTRS,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,020180049,CABLE 4/0 AWG CU THHN/THWN-2 CT 600V M. GENE,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,020190089,CABLE UTP CAT 6 AZUL M. LANPRO ,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,020200054,C. 6AWG AZUL FREETOX 600V X MT M GENE,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,020200055,C. 6AWG BLANCO FREETOX 600V X MT GEN,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,020210010,C. 4 AWG DESNUDO 7H M GENE,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,0210001000002,SUELO ARTIFICIAL FAVIGEL 25 KG M. SEGELECTRICA,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,030010069,CURVA SCH-40 3/4 M. GENERICA,,Productos,Activo,IVA 19%,,Si,Si,50.0,SI,0.0,,
Producto,030010070,CURVA SCH-40 1 M. GENERICA,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,030020011,"CAPACETE 1"" EMT M.GENE",,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,030020031,CONECTOR PARA CORAZA RECTO 2 M GEN,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,030080054,GRAPA METALICA 1 1/4 EMT M. GENERICA,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,03303,PATCH PANEL DE 48 PUERTOS CT 6,,Productos,Activo,IVA 19%,,Si,Si,2.0,SI,0.0,,
Producto,03DT075,DOBLA TUBO 3/4EMT SIN BARRA,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,03PDT075,PALANCA PARA DOBLA TUBO 3/4Y 1/2,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,04500007,ARANDELA PLANA ZIN 1/4 M. GENERICA,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,0460009,ARANDELA PLANA ZIN 3/8,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,050010053,TACO ENCHUFABLE 1X20 AMP M GENERICO,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,0517219,TORNILLO AUTOPERFORANTE 1 M GENE,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,0518132,TORNILLO P/BROCA GALVANIZADO 7 X 7/16,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,06010,ARRAN DTO 7-10A 220VAC,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,06206,GUARDAMOTOR 2.5-4A UL,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,070070005,CAJA 12*12*5 TOMA BLANCA TERCOL,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,070090107,TABLERO REF 30 CTOS TOT 225 AMP 3 FASES GALV M. TERCOL,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,070100072,"TRANSFORMADOR 1F 0,5KVA 13200-120V SIEMENS",,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,077DEX004,CANALETA RANURADA GRIS  40*40 2M E,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,09634,BREAKER RIEL 2X6 AMPS M. CHINT,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,09636,BREAKER RIEL 2X10 AMP M. CHINT,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,1005,BOMBILLO LED 6 W GU10 DIMERIZABLE LUMEK,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10100B,BOMBILLO LED GU10 5W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,3.0,SI,0.0,,
Producto,10100C,BOMBILLO LED GU10 5W 3500K CEB,,Productos,Activo,IVA 19%,,Si,Si,1.0,SI,0.0,,
Producto,10101B,BOMBILLO LED GU10 EDICION 12 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,1.0,SI,0.0,,
Producto,10102B,BOMBILLO LED 3W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10102C,BOMBILLO LED 3W 3000K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10103B,BOMBILLO LED 5W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10103C,BOMBILLO LED 5W 3000K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10104B,BOMBILLO LED 9W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10104C,BOMBILLO LED 9W 3000K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10105B,BOMBILLO LED 12W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10105C,BOMBILLO LED 12W 3000K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10106B,BOMBILLO LED 15W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,1.0,SI,0.0,,
Producto,10106C,BOMBILLO LED 15W 3000K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10107,BOMBILLO LED 20W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,1.0,SI,0.0,,
Producto,10108,BOMBILLO LED 30W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,1.0,SI,0.0,,
Producto,10109,BOMBILLO LED 50W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,1.0,SI,0.0,,
Producto,10110B,BOMBILLO PAR 30 11W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10110C,BOMBILLO PAR 30 11W 3000K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10111B,BOMBILLO PAR 38 18W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10111C,BOMBILLO PAR 38 18W 3000K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10112B,PANEL LED REDONDO INC 3W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10112C,PANEL LED REDONDO INC 3W 3000K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10113B,PANEL LED REDONDO INC 6W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10113C,PANEL LED REDONDO INC 6W 3000K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10114B,PANEL LED REDONDO INC 9W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10114C,PANEL LED REDONDO INC 9W 3000K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10115B,PANEL LED REDONDO INC 12W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10115C,PANEL LED REDONDO INC 12W 3000K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10116B,PANEL LED REDONDO INC 18W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10116C,PANEL LED REDONDO INC 18W 3000K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10117B,PANEL LED REDONDO INC 24W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10117C,PANEL LED REDONDO INC 24W 3000K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10118B,PANEL LED CUADRADO INC 6W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10119B,PANEL LED CUADRADO INC 9W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10120B,PANEL LED CUADRADO INC 12W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10121B,PANEL LED CUADRADO INC 18W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10122B,PANEL LED CUADRADO INC 24W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10123B,PANEL LED REDONDO SP 6W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10123C,PANEL LED REDONDO SP 6W 3000K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10124B,PANEL LED REDONDO SP 12W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10124C,PANEL LED REDONDO SP 12W 3000K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10125B,PANEL LED REDONDO SP 18W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10125C,PANEL LED REDONDO SP 18W 3000K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10126B,PANEL LED REDONDO SP 24W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10126C,PANEL LED REDONDO SP 24W 3000K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10127,PANEL LED CUADRADO SP 6W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10128,PANEL LED CUADRADO SP 12W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10129,PANEL LED CUADRADO SP 18W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10130,PANEL LED CUADRADO SP 24W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,10135,BOMBILLO LED 40W 6500K WELLMAX,,Productos,Activo,IVA 19%,,Si,Si,1.0,SI,0.0,,
Producto,10136,CHASIS OJO DE BUEY CEB,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,1020,CONECTOR DERIVACION ALU-COBRE  APANTALLADO NACI M GENE,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,1030000002,TUBO PVC 3/4 3 M CEB,,Productos,Activo,IVA 19%,,Si,Si,29.0,SI,0.0,,
Producto,1030000004,"TUBO PVC 1"" 3 M TUBOSA",,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,1030000006,TUBO PVC 1 1/4 3 M TUBOSA,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,1030000008,TUBO PVC 1 1/2 3M M GENE,,Productos,Activo,IVA 19%,,Si,Si,47.0,SI,0.0,,
Producto,1030000036,"DUCTO TELEFONICO DB 2"" 3 M TUBOSA",,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,1030000038,"DUCTO TELEFONICO DB 3"" 3 METROS TUBOSA",,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,1030000040,"DUCTO TELEFONICO DB 4"" 3 M TUBOSA",,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,1030000041,"DUCTO TELEFONICO DB 6"" 6 M TUBOSA",,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,1030000162,TERMINAL PVC 1/2 M.GENE,,Productos,Activo,IVA 19%,,Si,Si,9.0,SI,0.0,,
Producto,1030000165,TERMINAL PVC 3/4 M.GENE,,Productos,Activo,IVA 19%,,Si,Si,17.0,SI,0.0,,
Producto,1030000169,"TERMINAL PVC 1"" M GENE",,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,1030000334,"TUBO CORRUGADO ELECT TELEF 4"" 6 M TUBOSA",,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,1030000335,"TUBO CORRUGADO ELECT Y  TELEF 6"" 6 M TUBOSA",,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,1030000470,"TUBO CORRUGADO ELECT TELEF 3"" 6 M TUBOSA",,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,1030000529,"TERMINAL PVC 2"" TUBOSA",,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,103LUK005,BREAKER DE RIEL 1X16A 6KA LUMEK UE(12),,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
Producto,103LUK098,BREAKER ENCHOFABLE 3P X 40A .M LUMEK,,Productos,Activo,IVA 19%,,Si,Si,0.0,SI,0.0,,
