Código producto,Nombre producto,MARCA DETALLADA,MARCA RESUMIDA,LINEA NEGOCIO
000001EM,CAJA MECANISMO 32MM ECO. EM,EM,SECUNDARIA,OTROS
077DEX004,CANALETA RANURADA GRIS  40*40 2M E,OTROS,SECUNDARIA,OTROS
10100B,BOMBILLO LED GU10 5W 6500K WELLMAX,WELLMAX,SECUNDARIA,ILUMINACION
10100C,BOMBILLO LED GU10 5W 3500K CEB,CEB,SECUNDARIA,ILUMINACION
10101B,BOMBILLO LED GU10 EDICION 12 6500K WELLMAX,WELLMAX,SECUNDARIA,ILUMINACION
10103B,BOMBILLO LED 5W 6500K WELLMAX,WELLMAX,SECUNDARIA,ILUMINACION
10105B,BOMBILLO LED 12W 6500K WELLMAX,WELLMAX,SECUNDARIA,ILUMINACION
10106B,BOMBILLO LED 15W 6500K WELLMAX,WELLMAX,SECUNDARIA,ILUMINACION
10112B,PANEL LED REDONDO INC 3W 6500K WELLMAX,WELLMAX,SECUNDARIA,ILUMINACION
10136,CHASIS OJO DE BUEY CEB,CEB,SECUNDARIA,ILUMINACION
1030000000,TUBO PVC 1/2 3M TUBOSA,TUBOSA,SECUNDARIA,TUBERIA
1030000002,TUBO PVC 3/4 3 M TUBOSA,TUBOSA,SECUNDARIA,TUBERIA
1030000004,"TUBO PVC 1"" 3 M TUBOSA",TUBOSA,SECUNDARIA,TUBERIA
1030000006,TUBO PVC 1 1/4 3 M TUBOSA,TUBOSA,SECUNDARIA,TUBERIA
1030000008,TUBO PVC 1 1/2 3M TUBOSA,TUBOSA,SECUNDARIA,TUBERIA
1030000036,"DUCTO TELEFONICO DB 2"" 3 M TUBOSA",TUBOSA,SECUNDARIA,TUBERIA
1030000162,TERMINAL PVC 1/2 TUBOSA,TUBOSA,SECUNDARIA,TUBERIA
1030000165,TERMINAL PVC 3/4 TUBOSA,TUBOSA,SECUNDARIA,TUBERIA
12075682,CONTACTOR CWC25-11-30D23,OTROS,SECUNDARIA,OTROS
12140454,RELE SOBRECARGA AZ RW27-2D3-U023,OTROS,SECUNDARIA,OTROS
144045,CAJA 5800 PVC RETIE EJG,OTROS,SECUNDARIA,OTROS
20100B,PANEL LED REDONDO INC 3W 6500K CEB,CEB,SECUNDARIA,ILUMINACION
20101B,PANEL LED REDONDO INC 6W 6500K CEB,CEB,SECUNDARIA,ILUMINACION
20104B,PANEL LED REDONDO INC 18W 6500K CEB,CEB,SECUNDARIA,ILUMINACION
20104C,PANEL LED REDONDO INC 18W 4100K CEB,CEB,SECUNDARIA,ILUMINACION
20108,PANEL LED CUADRADO INC 12W 6500K CEB,CEB,SECUNDARIA,ILUMINACION
20113B,PANEL LED REDONDO SP 18W 6500K CEB,CEB,SECUNDARIA,ILUMINACION
20114B,PANEL LED REDONDO SP 24W 6500K CEB,CEB,SECUNDARIA,ILUMINACION
20119,PANEL LED PASTEL INC 9W REDONDO 6500K CEB,CEB,SECUNDARIA,ILUMINACION
20120,PANEL LED PASTEL INC 18W REDONDO 6500K CEB,CEB,SECUNDARIA,ILUMINACION
20121,PANEL LED PASTEL INC 24W REDONDO 6500K CEB,CEB,SECUNDARIA,ILUMINACION
20122,PANEL LED PASTEL INC 36W REDONDO 6500K CEB,CEB,SECUNDARIA,ILUMINACION
20123,PANEL LED PASTEL INC 18W CUADRADO 6500K CEB,CEB,SECUNDARIA,ILUMINACION
