Comprobante,Fecha,Año,Mes,Mes_nombre,Código producto,Nombre producto,Descripción,Marca,Costo
CC-1-1126,2025-04-30,2025,4,Apr,P29945-36,LED HIGH BAY 200W DL GC 101 ST M.SYLVANIA,LED HIGH BAY 200W DL GC 101 ST M.SYLVANIA,M.SYLVANIA,1083592.0
CC-3-69,2025-01-31,2025,1,Jan,NX10024651,C. 10AWG CU BLANCO THHN-2 600V X MT.M. GEN,C. 10AWG CU BLANCO THHN-2 600V X MT.  CENTELSA,CENTELSA,102484.27
CC-3-69,2025-01-31,2025,1,Jan,80007162,A. 14AWG CU ROJO THHN-2 600V X MT M. GEN,A. 14AWG CU ROJO THHN-2 600V X MT CENTELSA,CENTELSA,20851.04
CC-3-69,2025-01-31,2025,1,Jan,80007160,A. 14AWG CU NEGRO THHN-2 600V X MT M. GEN,A. 14AWG CU NEGRO THHN-2 600V X MT CENTELSA,CENTELSA,16472.48
CC-3-69,2025-01-31,2025,1,Jan,NX10024640,C. 10AWG CU ROJO THHN-2 600V X MT. M. GEN,C. 10AWG CU ROJO THHN-2 600V X MT.  CENTELSA,CENTELSA,147343.88
CC-3-69,2025-01-31,2025,1,Jan,CFR-6,CABLE ALUMINIO 6 AWG S.8000 (15mm) M. PROCABLES,CABLE ALUMINIO 6 AWG S.8000 (15mm) M. PROCABLES,PROCABLES,193500.0
CC-3-69,2025-01-31,2025,1,Jan,FC-1.5-ECO,FUENTE CINTA LED 12V 1.5AMP ECO,FUENTE CINTA LED 12V 1.5AMP ECO,ECO,56052.07
CC-3-69,2025-01-31,2025,1,Jan,ETI07,TAPA PARA TOMA DOBLE NARANJA,TAPA PARA TOMA DOBLE NARANJA,NARANJA,2695.93
CC-3-69,2025-01-31,2025,1,Jan,LL1RSK,CONDULETA LL 1/2 ROSCADA M. AMPEREX,CONDULETA LL 1/2 ROSCADA M. AMPEREX,AMPEREX,3610.0
CC-3-69,2025-01-31,2025,1,Jan,LL2RACB,CONDULETA LL 3/4 ROSCADA M. AMPEREX,CONDULETA LL 3/4 ROSCADA M. AMPEREX,AMPEREX,15788.0
CC-3-69,2025-01-31,2025,1,Jan,LR1RSK,"CONDULETA LR 1/2"" ROSCADA M. AMPEREX",CONDULETA LR 1/2 ROSCADA M. AMPEREX,AMPEREX,3230.0
CC-3-69,2025-01-31,2025,1,Jan,T1EMT,CONDULETA 1/2 EN T LISA,CONDULETA 1/2 EN T LISA,LISA,49400.0
CC-3-69,2025-01-31,2025,1,Jan,VC1/2-240,VARILLA DE COBRE 1/2 X 240,VARILLA DE COBRE 1/2 X 240,240,130452.75
CC-3-69,2025-01-31,2025,1,Jan,3007174,C.14AWG CU AZUL THHN/THWN-2 600V X ROLLO CONDUMEX,C.14AWG CU AZUL THHN/THWN-2 600V X ROLLO CONDUMEX,CONDUMEX,118088.0
CC-3-69,2025-01-31,2025,1,Jan,P29704-19,LED EMERG R3 2X1W ST SYLVANIA,LED EMERG R3 2X1W ST SYLVANIA,SYLVANIA,179589.35
CC-3-69,2025-01-31,2025,1,Jan,LN602-3W-85*10,PANEL LED REDONDO INCRUSTAR 3W 6500K  100-240V 85*10mm IP20 20AWG KLIC,PANEL LED REDONDO INCRUSTAR 3W 6500K  100-240V 85*10mm IP20 20AWG KLIC,KLIC,37833.71
CC-3-69,2025-01-31,2025,1,Jan,LN602-6W-120*10,PANEL LED REDONDO INCRUSTAR 6W 6500K  100-240V 120*10mm IP20 20AWG KLIC,PANEL LED REDONDO INCRUSTAR 6W 6500K  100-240V 120*10mm IP20 20AWG KLIC,KLIC,59929.44
